stagger_h,duration_h,joined,pack_capacity_ah,pack_energy_wh,circ_peak_a,circ_mean_a,dev_peak_pct,dev_mean_pct,voltage_spread_mv,mean_temp_k,max_temp_k,branch1_soc_end,branch2_soc_end
0.0500,4.9778,True,625.2089,15828.9353,106.2413,0.6444,169.1740,1.0261,0.8731,1.2328,1.2336,0.4444,0.4444
0.1000,4.9778,True,625.2089,15820.3868,192.2763,1.3169,306.1724,2.0969,3.8103,1.2390,1.2424,0.4444,0.4445
0.2500,4.9778,True,625.2089,15802.2571,235.6211,3.3504,375.1928,5.3351,43.2909,1.2528,1.2990,0.4443,0.4446
0.5000,4.9778,True,625.2089,15779.8129,238.2338,6.9831,379.3533,11.1196,108.9762,1.2763,1.4087,0.4439,0.4449
0.7500,4.9778,True,625.2089,15752.1980,260.1231,11.0990,414.2087,17.6735,127.4898,1.3147,1.5450,0.4436,0.4453
1.0000,4.9778,True,625.2089,15724.2416,263.5323,15.7757,419.6374,25.1205,171.9784,1.3703,1.7264,0.4431,0.4458
1.2500,4.9778,True,625.2089,15693.2011,265.2062,21.0410,422.3028,33.5048,214.0464,1.4416,1.9152,0.4427,0.4462
1.5000,4.9778,True,625.2089,15656.0535,273.1815,27.0628,435.0024,43.0936,245.4371,1.5313,2.1073,0.4423,0.4466
1.7500,4.9778,True,625.2089,15608.4728,301.5323,33.9926,480.1470,54.1284,317.6747,1.6550,2.3303,0.4420,0.4468
2.0000,4.9778,True,625.2089,15551.3146,324.4800,42.1171,516.6879,67.0655,408.4861,1.8338,2.6294,0.4418,0.4471
